time,xzqz,xzcy
2020/3/5,0,0
2020/3/4,0,0
2020/3/3,0,0
2020/3/2,0,0
2020/3/1,1,0
2020/2/29,0,0
2020/2/28,0,0
2020/2/27,0,0
2020/2/26,0,0
2020/2/25,0,13
2020/2/24,0,12
2020/2/23,0,11
2020/2/22,0,4
2020/2/21,1,23
2020/2/20,0,17
2020/2/19,0,19
2020/2/18,0,11
2020/2/17,1,21
2020/2/16,1,16
2020/2/15,8,11
2020/2/14,6,10
2020/2/13,9,13
2020/2/12,5,15
2020/2/11,11,10
2020/2/10,7,10
2020/2/9,4,7
2020/2/8,13,8
2020/2/7,17,9
2020/2/6,20,6
2020/2/5,25,3
2020/2/4,20,3
2020/2/3,43,5
2020/2/2,30,0
2020/2/1,26,1
2020/1/31,60,0
2020/1/30,24,0
2020/1/29,23,0
2020/1/28,14,0
2020/1/27,13,2
2020/1/26,9,0
2020/1/25,7,0
2020/1/24,5,0
2020/1/23,0,2
2020/1/22,1,0
2020/1/21,5,0
2020/1/20,8,0
2020/1/19,1,0
